# Note - 
# ESC - Mamba X (F583) Firmware - 2.02(Prodcution)
# Poles - 4
# Gear Ratio - 1
# KV - 0
# Graph Data - 11 Sessions - Saved Thursday, April 24, 2025
# Start Of Session - Sample Time: 0.200
# Reset Source (Cause of reset):  Normal Boot-up Sequence, 255
# Number: 1
# Note - 
# Voltage Cutoff: 9.11
# Current Cutoff: ?
# Temperature Cutoff: 239.0
# Motor Temperature Cutoff: -459.4
# RX2 Mode: 0
# Throttle Cal Min: 2139
# Throttle Cal Mid: 3020
# Throttle Cal Max: 3901
# Idle Times: 
Throttle    , Power-Out   , Voltage     , Ripple      , Current     , Temperature , Speed       , Gov. Gain   , BEC Voltage , Motor Temp. 
True        , True        , True        , True        , True        , True        , True        , True        , True        , True        
1.3385      , 19.608b     , 12.37       , 0.000       , -3.9        , 96.3        , 3128        , 0           , 5.33        , 0.00        
1.2915      , 28.627b     , 12.37       , 0.000       , -2.6        , 96.3        , 2747        , 0           , 5.33        , 0.00        
1.2445      , 37.255b     , 12.37       , 0.000       , -3.9        , 96.3        , 2747        , 0           , 5.33        , 0.00        
1.1583      , 54.510b     , 12.37       , 0.000       , -3.9        , 96.3        , 0           , 0           , 5.33        , 0.00        
1.0878      , 67.843b     , 12.37       , 0.000       , -2.6        , 96.3        , 0           , 0           , 5.33        , 0.00        
1.4247      , 1.961b      , 12.50       , 0.000       , -3.9        , 96.3        , 0           , 0           , 5.33        , 0.00        
1.5188      , 0.392       , 12.50       , 0.000       , -3.9        , 96.3        , 0           , 0           , 5.33        , 0.00        
1.5188      , 0.392       , 12.50       , 0.000       , -3.9        , 96.3        , 0           , 0           , 5.33        , 0.00        
1.5188      , 0.392       , 12.50       , 0.000       , -3.9        , 96.3        , 0           , 0           , 5.33        , 0.00        
1.5188      , 0.392       , 12.37       , 0.000       , -3.9        , 96.3        , 0           , 0           , 5.33        , 0.00        
1.5188      , 0.392       , 12.50       , 0.000       , -3.9        , 96.3        , 0           , 0           , 5.33        , 0.00        
1.5188      , 0.392       , 12.50       , 0.000       , -3.9        , 96.3        , 0           , 0           , 5.33        , 0.00        
1.5188      , 0.392       , 12.50       , 0.000       , -3.9        , 96.3        , 0           , 0           , 5.29        , 0.00        
1.5188      , 0.392       , 12.50       , 0.000       , -3.9        , 96.3        , 0           , 0           , 5.33        , 0.00        
1.5188      , 0.392       , 12.50       , 0.000       , -2.6        , 96.3        , 0           , 0           , 5.33        , 0.00        
1.5188      , 0.392       , 12.50       , 0.000       , -3.9        , 96.3        , 0           , 0           , 5.33        , 0.00        
1.5188      , 0.392       , 12.50       , 0.000       , -3.9        , 96.3        , 0           , 0           , 5.33        , 0.00        
1.5188      , 0.392       , 12.50       , 0.000       , -3.9        , 96.3        , 0           , 0           , 5.33        , 0.00        
1.5188      , 0.392       , 12.50       , 0.000       , -3.9        , 96.3        , 0           , 0           , 5.33        , 0.00        
1.5188      , 0.392       , 12.50       , 0.000       , -3.9        , 96.3        , 0           , 0           , 5.33        , 0.00        
1.5188      , 0.392       , 12.50       , 0.000       , -3.9        , 96.3        , 0           , 0           , 5.33        , 0.00        
1.5188      , 0.392       , 12.50       , 0.000       , -3.9        , 96.3        , 0           , 0           , 5.33        , 0.00        
# Start Of Session - Sample Time: 0.200
# Reset Source (Cause of reset):  Normal Boot-up Sequence, 255
# Number: 2
# Note - 
# Voltage Cutoff: 9.11
# Current Cutoff: ?
# Temperature Cutoff: 239.0
# Motor Temperature Cutoff: -459.4
# RX2 Mode: 0
# Throttle Cal Min: 2139
# Throttle Cal Mid: 3020
# Throttle Cal Max: 3901
# Idle Times: 
Throttle    , Power-Out   , Voltage     , Ripple      , Current     , Temperature , Speed       , Gov. Gain   , BEC Voltage , Motor Temp. 
True        , True        , True        , True        , True        , True        , True        , True        , True        , True        
0.0000      , 0.000       , 0.00        , 0.000       , -3.9        , 24.9        , 0           , 0           , 0.00        , 0.00        
1.5188      , 0.392       , 12.50       , 0.000       , 0.0         , 96.3        , 0           , 0           , 5.29        , 0.00        
1.5188      , 0.392       , 12.50       , 0.000       , -1.3        , 96.3        , 0           , 0           , 5.33        , 0.00        
1.5188      , 0.392       , 12.50       , 0.000       , -1.3        , 96.3        , 0           , 0           , 5.33        , 0.00        
1.5188      , 0.392       , 12.50       , 0.000       , -1.3        , 96.3        , 0           , 0           , 5.33        , 0.00        
1.5188      , 0.392       , 12.50       , 0.000       , -1.3        , 96.3        , 0           , 0           , 5.33        , 0.00        
1.5658      , 9.020       , 12.37       , 1.432       , 7.7         , 96.3        , 4240        , 0           , 5.33        , 0.00        
1.5658      , 9.804       , 12.37       , 1.432       , 6.5         , 96.3        , 3536        , 0           , 5.33        , 0.00        
1.6285      , 25.882      , 12.24       , 1.953       , 24.5        , 96.3        , 6465        , 0           , 5.33        , 0.00        
1.6677      , 35.294      , 12.24       , 1.693       , 34.8        , 96.3        , 14378       , 0           , 5.33        , 0.00        
1.8322      , 80.784      , 13.02       , 2.864       , 98.1        , 96.3        , 43347       , 0           , 5.33        , 0.00        
1.8244      , 76.863      , 12.63       , 1.693       , 99.4        , 101.8       , 63209       , 0           , 5.33        , 0.00        
1.5188      , 0.392       , 12.37       , 0.000       , 9.0         , 96.3        , 32459       , 0           , 5.33        , 0.00        
1.5188      , 0.392       , 12.37       , 0.000       , 1.3         , 96.3        , 31123       , 0           , 5.33        , 0.00        
1.5188      , 0.392       , 12.37       , 0.000       , 1.3         , 101.8       , 29762       , 0           , 5.33        , 0.00        
1.5580      , 6.667       , 12.37       , 0.130       , 1.3         , 101.8       , 27516       , 0           , 5.33        , 0.00        
1.5971      , 17.647      , 12.37       , 1.042       , 3.9         , 101.8       , 26412       , 0           , 5.33        , 0.00        
1.6128      , 21.961      , 12.37       , 1.302       , 12.9        , 101.8       , 26970       , 0           , 5.33        , 0.00        
1.6833      , 40.784      , 12.11       , 1.432       , 23.2        , 101.8       , 28515       , 0           , 5.33        , 0.00        
1.7460      , 57.647      , 11.59       , 0.521       , 54.2        , 101.8       , 43813       , 0           , 5.33        , 0.00        
1.8401      , 81.569      , 13.28       , 2.344       , 90.3        , 101.8       , 52756       , 0           , 5.33        , 0.00        
1.8714      , 90.588      , 13.02       , 2.083       , 107.1       , 101.8       , 69920       , 0           , 5.29        , 0.00        
1.7147      , 55.294      , 11.85       , 0.911       , 74.8        , 101.8       , 55631       , 0           , 5.33        , 0.00        
1.5188      , 0.392       , 12.37       , 0.000       , 7.7         , 101.8       , 48381       , 0           , 5.33        , 0.00        
1.5188      , 0.392       , 12.37       , 0.000       , 1.3         , 101.8       , 45270       , 0           , 5.33        , 0.00        
1.4247      , 2.745b      , 12.37       , 0.000       , 0.0         , 101.8       , 43440       , 0           , 5.33        , 0.00        
1.4326      , 1.176b      , 12.37       , 0.000       , -2.6        , 101.8       , 39263       , 0           , 5.33        , 0.00        
1.5188      , 0.392       , 12.37       , 0.000       , -2.6        , 101.8       , 31170       , 0           , 5.33        , 0.00        
1.5580      , 7.059       , 12.37       , 0.391       , -2.6        , 101.8       , 22387       , 0           , 5.33        , 0.00        
1.6050      , 20.392      , 12.37       , 1.432       , 9.0         , 101.8       , 16986       , 0           , 5.33        , 0.00        
1.6363      , 28.235      , 12.24       , 1.562       , 20.6        , 101.8       , 16585       , 0           , 5.33        , 0.00        
1.5266      , 0.392       , 12.37       , 0.130       , 5.2         , 101.8       , 9585        , 0           , 5.33        , 0.00        
1.5893      , 15.686      , 12.37       , 1.432       , 7.7         , 101.8       , 0           , 0           , 5.29        , 0.00        
1.5971      , 17.647      , 12.37       , 1.562       , 10.3        , 101.8       , 7503        , 0           , 5.33        , 0.00        
1.6050      , 19.216      , 12.37       , 1.562       , 11.6        , 101.8       , 10102       , 0           , 5.33        , 0.00        
1.5971      , 18.039      , 12.37       , 1.172       , 10.3        , 101.8       , 11515       , 0           , 5.33        , 0.00        
1.6050      , 20.392      , 12.37       , 1.302       , 11.6        , 101.8       , 11781       , 0           , 5.33        , 0.00        
1.5971      , 18.431      , 12.37       , 1.432       , 11.6        , 101.8       , 14032       , 0           , 5.33        , 0.00        
1.5971      , 16.863      , 12.37       , 1.172       , 9.0         , 101.8       , 15023       , 0           , 5.33        , 0.00        
1.6598      , 34.510      , 12.24       , 1.693       , 28.4        , 101.8       , 18748       , 0           , 5.33        , 0.00        
1.6598      , 33.725      , 12.24       , 1.562       , 29.7        , 101.8       , 22485       , 0           , 5.33        , 0.00        
1.6598      , 34.510      , 12.24       , 1.562       , 29.7        , 101.8       , 24451       , 0           , 5.33        , 0.00        
1.6755      , 38.039      , 12.11       , 1.432       , 33.5        , 101.8       , 26758       , 0           , 5.33        , 0.00        
1.6833      , 40.392      , 12.11       , 1.432       , 34.8        , 101.8       , 28317       , 0           , 5.33        , 0.00        
1.6990      , 45.490      , 11.85       , 1.042       , 40.0        , 101.8       , 32614       , 0           , 5.33        , 0.00        
