Throttle,Power-Out,Voltage,Ripple,Current,Temperature,Speed,Gov.Gain,ECVoltage,MotorTemp.
1.0878,68.627,11.20,0.000,14.2,206.1,42624,0,5.25,1.93
1.0878,68.627,11.20,0.000,7.7,206.1,5681,0,5.25,1.93
1.0878,69.020,11.20,0.000,6.5,206.1,0,0,5.25,1.93
1.4718,0.392,11.20,0.000,7.7,206.1,35323,0,5.25,1.93
1.4718,0.392,11.20,0.000,9.0,206.1,31654,0,5.25,1.93
1.5423,1.176,11.20,0.000,7.7,206.1,24929,0,5.21,1.93
1.5736,11.765,11.20,0.651,14.2,206.1,20115,0,5.25,22.42
1.6912,42.745,10.81,1.172,38.7,206.1,20376,0,5.25,1.93
1.7304,53.333,10.68,0.911,64.5,206.1,31556,0,5.25,22.42
1.8322,80.392,12.37,2.604,103.2,206.1,43907,0,5.29,22.42
1.8636,87.451,12.50,2.995,118.7,206.1,53870,0,5.21,22.42
1.8322,80.392,12.37,1.172,108.4,206.1,50412,0,5.25,22.42
1.8479,84.706,11.72,2.083,98.1,206.1,58500,0,5.21,22.42
1.8009,71.765,11.33,1.172,71.0,206.1,56871,0,5.25,22.42
1.0878,68.627,11.20,0.000,11.6,206.1,0,0,5.25,1.93
1.0878,68.627,11.20,0.000,7.7,206.1,0,0,5.25,1.93
1.0878,68.627,11.20,0.000,7.7,206.1,4637,0,5.25,1.93
1.0878,68.627,11.20,0.000,7.7,206.1,0,0,5.25,1.93
1.0878,68.627,11.20,0.000,7.7,206.1,0,0,5.21,1.93
1.0878,68.627,11.20,0.000,9.0,206.1,6685,0,5.21,1.93
1.0878,68.627,11.20,0.000,7.7,206.1,4054,0,5.21,1.93
1.0878,68.627,11.20,0.000,7.7,206.1,4054,0,5.25,1.93
