Throttle    , Power-Out   , Voltage     , Ripple      , Current     , Temperature , Speed       , Gov. Gain   , EC Voltage , Motor Temp.
1.5501,5.49,12.11,0.26,2.6,140.2,15180,0,5.33,0,
1.5736,10.588,12.11,0.651,6.5,140.2,12930,0,5.29,0,
1.5736,10.98,12.11,0.911,6.5,140.2,12255,0,5.29,0,
1.5893,14.51,12.11,1.172,6.5,140.2,11982,0,5.29,0,
1.5893,15.294,12.11,1.302,9,140.2,13223,0,5.29,0,
1.6442,29.412,11.98,1.693,25.8,140.2,16505,0,5.33,0,
1.652,32.941,11.98,1.693,28.4,140.2,21048,0,5.29,0,
1.699,43.922,11.59,1.302,40,140.2,26829,0,5.33,0,
1.7069,47.451,11.46,1.042,45.2,140.2,32614,0,5.29,0,
1.746,57.255,11.46,0.911,55.5,140.2,38963,0,5.33,0,
1.7382,54.118,11.46,0.911,47.7,140.2,42358,0,5.29,0,
1.7304,53.333,11.46,0.781,43.9,140.2,45471,0,5.33,0,
1.7382,54.51,11.33,0.781,41.3,140.2,48266,0,5.33,0,
1.7931,69.412,11.98,0.911,52.9,140.2,52083,0,5.33,0,
1.8636,87.843,12.89,1.042,87.7,140.2,62436,0,5.33,0,
1.8636,88.627,12.89,1.042,98.1,140.2,62628,0,5.33,0,
1.8636,87.451,12.37,2.213,73.5,140.2,67382,0,5.29,0,
1.8636,88.235,13.15,2.083,71,140.2,68056,0,5.29,0,
1.8636,89.02,12.24,1.562,67.1,140.2,69920,0,5.33,0,
1.8636,88.235,12.63,1.172,60.6,140.2,69444,0,5.33,0,
1.8636,87.451,12.63,1.823,63.2,140.2,71138,0,5.33,0,
1.8636,89.02,12.63,1.693,60.6,145.7,72657,0,5.33,0,
1.8636,88.627,12.37,1.562,58.1,140.2,73441,0,5.29,0,
1.8714,89.02,12.63,1.042,59.4,145.7,72657,0,5.29,0,
1.8714,89.412,12.37,1.562,58.1,145.7,72917,0,5.33,0,
1.8558,86.667,12.63,1.693,50.3,145.7,73441,0,5.29,0,
1.8558,86.667,12.5,0.781,49,145.7,75617,0,5.29,0,
1.1113,60.000,11.98,0,25.8,145.7,65021,0,5.33,0,
1.0878,63.922,11.98,0,-1.3,145.7,6341,0,5.33,0,
1.0878,63.922,11.98,0,-1.3,145.7,6341,0,5.33,0,
1.5031,0.392,11.98,0,-1.3,145.7,41080,0,5.29,0,
1.5031,0.392,11.98,0,-1.3,145.7,39414,0,5.33,0,
1.5031,0.392,11.98,0,-1.3,145.7,37462,0,5.33,0,
1.5031,0.392,11.98,0,-1.3,145.7,35945,0,5.29,0,
1.3385,18.431,11.98,0,-1.3,145.7,33525,0,5.33,0,
1.5031,0.392,11.98,0,-1.3,145.7,28435,0,5.29,0,
1.5031,0.392,11.98,0,-1.3,145.7,23307,0,5.33,0,
1.5031,0.392,11.98,0,-1.3,145.7,17258,0,5.29,0,
1.5031,0.392,11.98,0,-1.3,145.7,11856,0,5.29,0,
1.5109,0.392,11.98,0,-1.3,145.7,7793,0,5.33,0,
1.5188,0.392,11.98,0,-1.3,145.7,0,0,5.33,0,
1.5423,3.529,11.98,0.391,-1.3,145.7,0,0,5.33,0,
1.5815,12.549,11.98,1.693,5.2,145.7,2692,0,5.29,0,
1.5815,12.941,11.98,1.823,10.3,145.7,3479,0,5.33,0,
1.5658,9.804,11.98,1.302,7.7,145.7,6303,0,5.29,0,
1.5893,14.902,11.98,1.172,6.5,145.7,7349,0,5.29,0,
1.5893,14.51,11.98,0.911,7.7,145.7,8994,0,5.29,0,
1.5736,10.588,11.98,0.781,6.5,145.7,10535,0,5.33,0,
1.5188,0.392,11.98,0,2.6,145.7,10219,0,5.33,0,
1.605,19.608,11.98,1.562,11.6,145.7,10930,0,5.33,0,
1.6207,23.137,11.98,1.562,15.5,145.7,13648,0,5.33,0,
1.6442,28.627,11.98,1.693,20.6,145.7,16762,0,5.29,0,
1.6677,35.294,11.85,1.693,31,145.7,21537,0,5.29,0,
1.746,56.863,11.2,1.042,58.1,145.7,30748,0,5.33,0,
1.8087,73.725,12.5,2.083,91.6,145.7,45573,0,5.33,0,
1.8558,86.667,12.76,1.172,114.8,145.7,53168,0,5.33,0,
1.8558,86.667,12.89,2.734,108.4,145.7,58002,0,5.29,0,
1.8714,89.02,12.76,2.083,90.3,145.7,67160,0,5.33,0,
1.8636,88.627,12.24,1.693,87.7,145.7,65648,0,5.29,0,
1.8636,89.02,12.63,2.213,92.9,145.7,64610,0,5.29,0,
1.8636,89.02,12.63,1.693,77.4,145.7,70160,0,5.33,0,
1.8636,88.627,12.5,1.562,65.8,145.7,69920,0,5.33,0,
1.8714,89.412,12.24,1.432,63.2,145.7,72400,0,5.33,0,
1.8714,89.412,12.37,1.562,60.6,145.7,72917,0,5.29,0,
1.8714,89.804,12.24,1.432,59.4,145.7,72400,0,5.29,0,
1.8636,88.627,12.5,1.562,58.1,145.7,73706,0,5.33,0,
1.8558,85.882,12.5,1.562,47.7,145.7,72144,0,5.29,0,
1.8558,86.275,12.76,1.042,54.2,145.7,71637,0,5.29,0,
1.8636,88.235,12.11,1.302,56.8,145.7,71890,0,5.33,0,
1.8558,86.667,12.5,1.562,51.6,145.7,72400,0,5.33,0,
1.8558,85.098,12.24,1.562,56.8,151.2,68056,0,5.33,0,
1.8558,85.098,12.24,1.823,65.8,145.7,68056,0,5.33,0,
1.8479,83.137,12.37,1.562,65.8,151.2,69681,0,5.33,0
